NoirLab,SOAR,SPARC4,Mandatory,INST_SPEC,S2026A,Default,Type,Nullable,Allowed_Values,Comment
,,FRAMETRF,n,y,FRAMETRF,,boolean,TRUE,"true,false",Frame transfer on: T or F
,,VCLKAMP,n,y,VCLKAMP,,string,TRUE,"Normal,+1,+2,+3,+4","Clock amplitude: Normal, +1, +2, +3, +4"
GAIN,GAIN,GAIN,n,y,GAIN,2,Float,TRUE,,Specifies the detector sensitivity in number of electrons per data
DETRON,RDNOISE,RDNOISE,n,y,RDNOISE,10.1,Float,TRUE,,Specifies the detector readout noise in electrons
EFFRON,,,n,y,EFFRON,1.1,Float,TRUE,,Specifies the median over all pixels of the effective readout noise
RA,RA,RA,y,n,RA,21.955217,Float,TRUE,,Pointing (deg) (J2000.0)
DEC,DEC,DEC,y,n,DEC,-1.8821,Float,TRUE,,Pointing (deg) (J2000.0)
EQUINOX,EQUINOX,EQUINOX,n,n,EQUINOX,2000,Float,TRUE,,Standard FK5 epoc
,FOCUS,TELFOCUS,n,n,TELFOCUS,POSITION,integer,TRUE,"0,inf",Telescope focus position (arbitrary units)
,,TCSHA,n,n,TCSHA,HOURANGLE,string,TRUE,,TCS hour angle: HH:MM:SS
,,TCSDATE,n,n,TCSDATE,,string,TRUE,,TCS local date (isot)
,,GFOC,n,y,GFOC,,float,TRUE,"0,inf",Guiding focus position (mm)
,,GMIR,n,y,GMIR,,float,TRUE,360,Rotation angle of the guiding mirror (deg)
,COL_TEMP,EXTTEMP,n,n,EXTTEMP,OUTTEMP,float,TRUE,"-20,30","Temperature (deg C), weather tower"
AIRMASS,AIRMASS,AIRMASS,n,n,AIRMASS,,float,TRUE,"1,inf",Airmass at start of observation
,,PRESSURE,n,n,PRESSURE,,float,TRUE,"0,inf","Barometric pressure (mb), weather tower"
,ENVHUM,HUMIDITY,n,n,HUMIDITY,OUTHUMIDITY,float,TRUE,100,"Relative humidity (%), weather tower"
,,ACSVRSN,n,y,ACSVRSN,,string,TRUE,,S4ACS software version
,,ICSVRSN,n,y,ICSVRSN,,string,TRUE,,S4ICS software version
,,GUIVRSN,n,y,GUIVRSN,,string,TRUE,,S4GUI software version
,,CTRLINTE,n,y,CTRLINTE,,string,TRUE,"S4GUI,S4GEI",Graphical control interface of ACS
,,ACSMODE,n,y,ACSMODE,,boolean,TRUE,"true,false",ACS: real (T) or simulated (F)
,,WPROMODE,n,y,WPROMODE,,boolean,TRUE,"true,false",Waveplate rotator: real (T) or simulated (F)
,,WPSEMODE,n,y,WPSEMODE,,boolean,TRUE,"true,false",Waveplate selector: real (T) or simulated (F)
,,ANMODE,n,y,ANMODE,,boolean,TRUE,"true,false",Analyzer: real (T) or simulated (F)
,,CALWMODE,n,y,CALWMODE,,boolean,TRUE,"true,false",Calibration wheel: real (T) or simulated (F)
,,GMIRMODE,n,y,GMIRMODE,,boolean,TRUE,"true,false",Guiding mirror: real (T) or simulated (F)
,,GFOCMODE,n,y,GFOCMODE,,boolean,TRUE,"true,false",Guiding focuser: real (T) or simulated (F)
,,TCSMODE,n,y,TCSMODE,,boolean,TRUE,"true,false",TCS: real (T) or simulated (F)
,,WPROSTAT,n,y,WPROSTAT,,string,TRUE,"READY,ACK,BUSY,ERROR,TIMEOUT,NONE",Waveplate rotator status
,,WPSESTAT,n,y,WPSESTAT,,string,TRUE,"READY,ACK,BUSY,ERROR,TIMEOUT,NONE",Waveplate selector status
,,ANSTAT,n,y,ANSTAT,,string,TRUE,"READY,ACK,BUSY,ERROR,TIMEOUT,NONE",Analyzer status
,,CALWSTAT,n,y,CALWSTAT,,string,TRUE,"READY,ACK,BUSY,ERROR,TIMEOUT,NONE",Calibration wheel status
,,GMIRSTAT,n,y,GMIRSTAT,,string,TRUE,"READY,ACK,BUSY,ERROR,TIMEOUT,NONE",Guiduing mirror status
,,GFOCSTAT,n,y,GFOCSTAT,,string,TRUE,"READY,ACK,BUSY,ERROR,TIMEOUT,NONE",Guiding focuser status
,,WPSEL,n,y,WPSEL,,string,TRUE,"None,L2,L4","Waveplate: half-wave (L2), quarter-wave (L4)"
,,WPSELPO,n,y,WPSELPO,,float,TRUE,"-5,165",Waveplate selector position (mm)
,,WPPOS,n,y,WPPOS,,integer,TRUE,"0,16","Waveplate idx position from 1 to 16, 0 if none"
,,WPANG,n,y,WPANG,,float,TRUE,360,Waveplate position angle (deg)
,,CALW,n,y,CALW,,string,TRUE,"POLARIZER,DEPOLARIZER,CLEAR,SPARE,CLOSED",Selected element in calibration wheel
,,CALWANG,n,y,CALWANG,,float,TRUE,360,Calibration wheel position angle (deg)
,,ASEL,n,y,ASEL,,boolean,TRUE,"true,false",Savart prism analyzer selected
,,ANALANG,n,y,ANALANG,,float,TRUE,360,Analyzer position angle (deg)
,,ACQERROR,n,y,ACQERROR,,boolean,TRUE,"true,false",Acquisition error - see comments
WEIGHT,,,p,y,WEIGHT,0.8,Float,TRUE,,This is the median over all pixels of the weight map
BLANK,,,n,y,BLANK,0,Integer,TRUE,,Value used for NULL pixels
DATE,DATE,,y,n,DATE,2001-08-19T09:34:52.676,String,TRUE,,Date the file was written
DATAMAX,,,n,y,DATAMAX,43212,Float,TRUE,,Maximal pixel value
DATAMIN,,,n,y,DATAMIN,323,Float,TRUE,,Minimal pixel value
RADESYS,,,n,y,RADESYS,FK5,String,TRUE,,Reference system
TEXPTIME,,,n,n,TEXPTIME,240,Float,TRUE,,"The arithmetic sum of the integration time of all exposures included in this
product (s)."
NCOMBINE,,,n,y,NCOMBINE,1,Integer,TRUE,,"Number of raw science data files that were combined to generate this data
product"
MJD-OBS,,,n,n,MJD-OBS,52140.39805,Float,TRUE,,MJD at exposure start (d)
MJD-END,,,n,n,MJD-END,52140.39875,Float,TRUE,,MJD at exposure end (d)
DATE-END,,,n,n,DATE-END,2001-08-19T09:34:51.950,String,TRUE,,Exposure end
TIMESYS,,,n,n,TIMESYS,UTC,String,TRUE,,Time system used
LST,LST,,n,n,LST,19:51:15.380,String,TRUE,,LST at start (s)
PI-COI,,,n,n,PI-COI,SCIENTIST,String,TRUE,,Name of the PI/Co-I
OBID,,,n,n,OBID,311,Integer,TRUE,,Observation Block ID run number
DISPELEM,,,n,y,DISPELEM,LR_blue,String,TRUE,,Dispersion element name
ARCFILE,,,n,y,ARCFILE,20251105_S4C1_00001.fits,String,TRUE,,Archive file name
PRODCATG,,,n,n,PRODCATG,SCIENCE.IMAGE,String,TRUE,,Data product category
PROCSOFT,,,p,y,PROCSOFT,Chimera v1.99,String,TRUE,,Version of the software used to produce this data product
REFERENC,,,p,y,REFERENC,1924MNRAS..84..308E,String,TRUE,,"Primary scientific publication associated with this data
product"
PROVi,,,p,y,PROVi,20251105_S4C1_00001,String,TRUE,,"Processing provenance in terms of the list of science files originating this
data product"
CHECKSUM,,,y,n,CHECKSUM,B5445389D6586A3E,String,FALSE,,HDU checksum
DATASUM,,,y,n,DATASUM,0265279410,String,FALSE,,Data unit checksum
COMMENT,,,n,n,COMMENT,Any comment,String,TRUE,,
